"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri May 28 16:30:16 ICT 2021","Fri May 28 16:30:26 ICT 2021","10002","","Account Function for undefined","","Account Function for undefined","should see valid msg when login unsuccessfully with incorrect phone number","should see valid msg when login unsuccessfully with incorrect phone number",""
"passed","Fri May 28 16:30:13 ICT 2021","Fri May 28 16:30:16 ICT 2021","3301","","Account Function for undefined","","Account Function for undefined","should login successfully","should login successfully",""
